  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  27/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  28/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  29/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  30/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/12/1907,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  01/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  02/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  03/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  04/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  05/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  06/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  07/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  08/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  09/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  10/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  11/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  12/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  13/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  14/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  15/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  16/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/01/1908,        NA,        NA,47.6,-122.3,       seattle washington,                  seattle,,,
  17/01/1908,        NA,        NA,43.1,-123.5,          victoria harbor,                     hvar,victoria,,
  17/01/1908,        NA,        NA,22.6,-3,   strait of juan de fuca,                    forth,juan de fuca strait,,
  18/01/1908,        NA,        NA,22.4,114.2,                 neah bay,                     tolo,neah bay,48 21 56N,124 36 56W
  18/01/1908,        NA,        NA,30.6,117.2,   pillar pt sxe  6 miles,                    mashi,juan de fuca strait,,
   19/1/1908,        NA,        NA,29.9,32.6,             port angeles,                   port t,port angeles,,
   19/1/1908,        NA,        NA,29.9,32.6,  port angeles washington,            port townsend,port angeles,,
  20/01/1908,        NA,        NA,48.1,-122.8,            port townsend,            port townsend,,,
  20/01/1908,        NA,        NA,48.1,-122.8,off port townsend washington,            port townsend,,,
  21/01/1908,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/01/1908,        NA,        NA,48.1,-122.8,off port townsend washington,            port townsend,,,
