  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  22/04/1928,,,58.3,-135.7,through stephens passage and icy strait,               icy strait,,,
  22/04/1928,,,54.1,-165.8,              off dry bay,              cross sound,alsek river,59 7 40N,138 37 14W
  23/04/1928,,,54.1,-165.8,through the gulf of alaska,           gulf of alaska,gulf of alaska,57N,144W
  23/04/1928,   59 34 N,  142 10 W,54.1,-165.8,           yakutat alaska,                   akutan,yakutat alaska,59 32 49N,139 43 38W
  24/04/1928,,,,,,,,,
  24/04/1928,,,,,,,,,
  24/04/1928,,,54.1,-165.8,through the gulf of alaska,                   akutan,gulf of alaska,,
  24/04/1928,,,60.3,-146.6,    off cape hinchinbrook,           gulf of alaska,cape hinchinbrook light,60 14 15N,146 38 48W
  25/04/1928,,,60.2,-146.6,         into port etches,              port etches,,,
  25/04/1928,,,60.6,-145.8,       port etches alaska,              port etches,,,
  26/04/1928,,,60.5,-146.6,           cordova alaska,              port etches,,,
  26/04/1928,,,60.5,-145.8,           cordova alaska,                  cordova,,,
  27/04/1928,,,60.5,-145.8,through orcas bay prince william sound and valdez arm,               orca inlet,,,
  27/04/1928,,,61.1,-146.3,            valdez alaska,                   valdez,,,
  28/04/1928,,,61.1,-146.3,through valdez arm and prince william sound,                   valdez,,,
  28/04/1928,   58 58 N,  147 45 W,21.5,109.1,hinchinbrook entrance alaska,                    china,gulf of alaska,,
  29/04/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  29/04/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  30/04/1928,,,60,-149.4, through resurrection bay,         resurrection bay,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,,,,,,,,,
  30/04/1928,   59 17 N,  146 36 W,60.1,-149.4,            seward alaska,                   seward,,,
  01/05/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  01/05/1928,   58 26 N,  139 08 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,
  02/05/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  02/05/1928,   58 15 N,  137 45 W,52.1,-128.1,          soapstone point,              story point,cross sound,58 10 40N,136 30 36W
  03/05/1928,,,52.1,-144,      off soapstone point,           gulf of alaska,cross sound,,
  03/05/1928,   59 02 N,  142 10 W,57,-144,           gulf of alaska,           gulf of alaska,,,
