  01/01/1904,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h
  14/12/1904,,,,,,,
  14/12/1904,,,37.8,-122.3,            sausalito cal,                sausalito,
  15/12/1904,,,,,,,
  15/12/1904,,,37.8,-122.3,            sausalito cal,                sausalito,
  16/12/1904,,,,,,,
  16/12/1904,,,37.8,-122.3,            sausalito cal,                sausalito,
  17/12/1904,,,,,,,
  17/12/1904,   34 49 N,  124 33 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  18/12/1904,,,,,,,
  18/12/1904,   32 39 N,  127 38 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  19/12/1904,,,,,,,
  19/12/1904,   30 43 N,  130 34 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  20/12/1904,,,,,,,
  20/12/1904,   28 38 N,  133 24 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  21/12/1904,,,,,,,
  21/12/1904,   26 54 N,  136 50 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  22/12/1904,,,,,,,
  22/12/1904,   25 52 N,  140 26 W,,,,,north pacific
  23/12/1904,,,,,,,
  23/12/1904,   24 43 N,  144 14 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  24/12/1904,,,,,,,
  24/12/1904,   23 45 N,  147 27 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  25/12/1904,,,,,,,
  25/12/1904,   32 38 N,  150 02 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  26/12/1904,,,,,,,
  26/12/1904,   22 01 N,  153 02 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  27/12/1904,,,,,,,
  27/12/1904,   21 21 N,  156 09 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific
  28/12/1904,,,,,,,
  28/12/1904,,,21.3,-157.9,              honolulu th,                 honolulu,
  29/12/1904,,,,,,,
  29/12/1904,,,21.3,-157.9,              honolulu th,                 honolulu,
  30/12/1904,,,,,,,
  30/12/1904,,,21.3,-157.9,              honolulu th,                 honolulu,
  31/12/1904,,,,,,,
  31/12/1904,,,21.3,-157.9,              honolulu th,                 honolulu,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,,,,,
  31/12/1904,,,21.3,-157.9,              honolulu th,                 honolulu,
