  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  17/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  18/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  19/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  20/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  21/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  22/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  23/09/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  24/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  25/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  26/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  27/09/1877,,,21.3,-157.9,        honolulu oahu h i,                 honolulu,,,
  28/09/1877,   20 24 N,,-13.8,-171.7,cruising in search of hawaiian steamer like like,                     apia,hawaiian islands,21N,2020-07-07T00:00:00
  29/09/1877,,,-13.8,-171.7,cruising in search of hawaiian steamer like like,                     apia,hawaiian islands,,
  30/09/1877,,,,,,,,,
  01/10/1877,   20 53 N,,,,,,,,
  02/10/1877,   21 07 N,,,,,,,,
  03/10/1877,   21 02 N,,,,,,,,
  04/10/1877,   21 21 N,,,,,,,,
  05/10/1877,   21 02 N,,,,,,,,
  06/10/1877,   23 08 N,,,,,,,,
  07/10/1877,   24 17 N,,,,,,,,
  08/10/1877,,,,,,,,,
  09/10/1877,,,,,,,,,
  10/10/1877,   24 02 N,,,,,,,,
  11/10/1877,   22 07 N,,,,,,,,
  12/10/1877,,,21.3,-157.9,    anchored off honolulu,                 honolulu,,,
  13/10/1877,,,,,,,,,
  12/10/1877,,,,,,,,,
  12/10/1877,,,,,,,,,
  12/10/1877,,,,,,,,,
  13/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  14/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  15/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  16/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  17/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  18/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  19/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  20/10/1877,,,,,,,,,
  21/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  22/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  23/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  24/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  25/10/1877,,,21.3,-157.9,         honolulu oahu hi,                 honolulu,,,
  26/10/1877,,,,,,,,,
  27/10/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  28/10/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  29/10/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  30/10/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  31/10/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  01/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
  02/11/1877,,,56.2,-3,     at sea north pacific,                    forth,north pacific,,
